period,sku_id,category_id,brand,lifetime_days,qty_total,orders_qty,abc,total_abc_numeric,avg_discount_perc_by_goods,max_discount_perc_by_goods,Unnamed: 11,avg_goods_price_by_goods,revenue,last_goods_sell_status,oos__by_goods,war,covid,year,sin_quarter,cos_quarter,sin_month,cos_month,sin_week,cos_week,data_status
9/16/2024,46303774477,672241,747920273,-70,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,9709","-0,2393",inconsistent
9/9/2024,46303774477,672241,747920273,-77,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,935","-0,3546",inconsistent
9/16/2024,46303862950,672241,747920273,-70,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,9709","-0,2393",inconsistent
9/9/2024,46303862950,672241,747920273,-77,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,935","-0,3546",inconsistent
9/16/2024,46303877432,672241,747920273,-70,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,9709","-0,2393",inconsistent
9/9/2024,46303877432,672241,747920273,-77,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,935","-0,3546",inconsistent
9/16/2024,46303948414,672241,747920273,-70,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,9709","-0,2393",inconsistent
9/9/2024,46303948414,672241,747920273,-77,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,935","-0,3546",inconsistent
9/16/2024,46308044959,672241,747920273,-70,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,9709","-0,2393",inconsistent
9/9/2024,46308044959,672241,747920273,-77,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,935","-0,3546",inconsistent
9/16/2024,46310250952,672241,747920273,-70,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,9709","-0,2393",inconsistent
9/9/2024,46310250952,672241,747920273,-77,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,935","-0,3546",inconsistent
9/16/2024,46310280482,672241,747920273,-70,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,9709","-0,2393",inconsistent
9/9/2024,46310280482,672241,747920273,-77,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,935","-0,3546",inconsistent
9/16/2024,46310291987,672241,747920273,-70,0,0,,,,,,0,0,,0,1,0,2024,-1,0,-1,0,"-0,9709","-0,2393",inconsistent
